Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
8;1000008;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.4;женский;3;0;среднее;менеджер среднего звена;< 50;0;88;40;Торговля;ООО;женат / замужем;1;1;1;0;0;0.0235294118;1;0;0;0;0.5;3;3;83;6;1;1;7;64;1;0;0;0;0;0;0
8;1000028;Поступление зарплаты на счет;Ремонт;0;0.39;мужской;0;0;высшее;специалист;>250;0;24;28;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000048;Поступление зарплаты на счет;Ремонт;0;0.47;мужской;1;0;высшее;менеджер среднего звена;>250;1;230;39;Другое;ОАО;женат / замужем;1;0;0;0;0;0;0;1;0;0;0.5;1;1;37;2;0;1;3;76;0;0;0;0;0;0;0
8;1000068;Поступление зарплаты на счет;Ремонт;1;0.42;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;39;26;Информационные технологии;ОАО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0.6666666667;2;1;43;3;1;1;8;24;0;0;0;0;0;0;0
8;1000088;2НДФЛ;Покупка недвижимости/ строительство;1;0.49;женский;0;0;высшее;специалист;>250;1;350;49;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000108;Свободная форма с печатью работодателя;Ремонт;1;0.54;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер по продажам;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000128;2НДФЛ;Ремонт;0;;женский;0;0;второе высшее;другое;;1;72;48;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000148;2НДФЛ;Отпуск;0;0.12;мужской;2;0;второе высшее;менеджер высшего звена;< 50;0;6;39;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000168;Поступление зарплаты на счет;Покупка автомобиля;1;0.35;женский;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000188;Поступление зарплаты на счет;Покупка мебели;0;0.16;мужской;0;0;высшее;специалист;>250;0;43;25;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000208;2НДФЛ;Покупка недвижимости/ строительство;0;0.55;мужской;2;0;среднее-специальное;менеджер среднего звена;>250;0;54;32;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000228;2НДФЛ;Покупка недвижимости/ строительство;1;0.49;женский;0;0;среднее-специальное;рабочий;>250;0;24;39;Торговля;ООО;холост / не замужем;5;4;4;2;2;0.027027027;0;0;0;0;0.8;4;1;36;5;1;0;6;23;1;0;0;0;0;0;0
8;1000248;Поступление зарплаты на счет;Ремонт;0;0.09;мужской;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;56;28;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000268;2НДФЛ;Покупка недвижимости/ строительство;1;0.56;женский;1;0;высшее;менеджер высшего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000288;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.49;мужской;0;0;высшее;менеджер среднего звена;< 50;0;6;31;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000308;Поступление зарплаты на счет;Ремонт;0;0.58;женский;0;0;среднее-специальное;специалист;>250;0;33;57;Торговля;ООО;холост / не замужем;0;0;0;0;0;0;1;0;0;0;0.4444444444;4;5;94;9;2;0;12;86;0;0;0;0;0;0;0
8;1000328;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.36;женский;0;0;высшее;специалист;< 50;1;8;25;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000348;2НДФЛ;Ремонт;1;0.49;мужской;1;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000368;Форма банка (без печати работодателя);Покупка мебели;0;0.43;женский;1;0;высшее;специалист;< 50;0;12;37;Торговля;ООО;разведен / разведена;1;0;0;0;0;0;1;2;0;0;0.4;2;3;59;5;2;2;4;34;0;0;0;0;0;0;0
8;1000388;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.49;мужской;0;0;высшее;менеджер высшего звена;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000408;Поступление зарплаты на счет;Ремонт;0;0.57;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;46;26;Другое;ООО;женат / замужем;2;1;0;0;0;0;0;1;0;0;0.6;3;2;48;5;1;0;4;32;0;0;0;0;0;0;0
8;1000428;2НДФЛ;Покупка бытовой техники;1;0.41;мужской;0;0;высшее;менеджер среднего звена;< 50;1;37;35;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000448;2НДФЛ;Ремонт;0;0.31;женский;0;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000468;Форма банка (без печати работодателя);Ремонт;1;0.49;мужской;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000488;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.4;мужской;0;0;высшее;рабочий;>250;0;52;33;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000508;Свободная форма с печатью работодателя;Ремонт;1;0.53;мужской;0;0;среднее-специальное;вспомогательный персонал;< 50;0;18;47;Торговля;ООО;женат / замужем;0;0;0;0;0;0;1;1;0;0;1;2;0;52;2;2;0;4;47;0;0;0;0;0;0;0
8;1000528;Форма банка (без печати работодателя);Ремонт;1;0.49;мужской;1;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;< 50;0;16;47;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000548;Форма банка (без печати работодателя);Ремонт;1;0.42;мужской;0;0;среднее-специальное;вспомогательный персонал;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000568;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.24;женский;1;0;высшее;специалист;>250;1;37;39;Информационные технологии;ООО;разведен / разведена;2;1;1;1;1;0.0952380952;0;0;0;0;0.6666666667;2;1;19;3;1;0;6;12;1;0;0;0;0;0;0
8;1000588;2НДФЛ;Ремонт;0;0.57;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;119;37;Торговля;ЗАО;холост / не замужем;9;8;7;6;2;0.0198019802;0;0;0;0;0.25;5;15;297;20;1;0;9;112;1;0;0;0;0;0;0
8;1000608;Форма банка (без печати работодателя);Покупка автомобиля;0;0.43;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000628;2НДФЛ;Ремонт;0;0.45;мужской;0;0;среднее-специальное;рабочий;>250;0;180;41;Другое;ОАО;женат / замужем;1;1;1;1;1;0;0;0;0;0;1;1;0;12;1;1;0;12;12;0;0;0;0;0;0;0
8;1000648;2НДФЛ;Ремонт;0;0.59;мужской;2;0;высшее;вспомогательный персонал;>250;3;162;33;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000668;Поступление зарплаты на счет;Обучение;1;0.05;мужской;1;0;высшее;менеджер среднего звена;>250;1;32;52;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000688;2НДФЛ;Ремонт;1;0.44;мужской;2;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000708;2НДФЛ;Покупка земли;1;0.22;женский;0;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000728;Форма банка (без печати работодателя);Ремонт;1;0.27;мужской;0;0;высшее;специалист;>250;0;35;29;Информационные технологии;ОАО;женат / замужем;1;1;1;1;1;0;1;0;0;0;0;0;2;20;2;0;1;17;18;0;0;0;0;0;0;0
8;1000748;2НДФЛ;Ремонт;0;0.55;женский;1;0;высшее;специалист;>250;3;174;34;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000768;2НДФЛ;Ремонт;1;0.59;мужской;0;0;высшее;рабочий;>250;0;95;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000788;2НДФЛ;Ремонт;0;0.51;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
